years_after_2002,region,walk,walk_1_mile_plus,bicycle,car_driver,car_passenger,motorcycle,other_private_transport,bus_in_london,other_local_bus,non_local_bus,london_underground,surface_rail,taxi,other_public_transport,all_modes,all_modes_excl_short_walk,wnweighted_sample,year
5,North East,346.30797059972446,197.48949872600105,51.20709456389386,5209.831837143638,2818.643434347718,45.871587197106216,186.42002318565767,0.8738396686040879,605.6536684816137,152.79414794599603,4.119352030046827,460.60463353764874,105.04293115751689,287.27704375358803,10274.647563612754,10125.829091739031,2947.9100000000003,2007
5,North West,322.07137616525097,175.7138009598174,53.93000791475278,5695.556221684751,2959.2848611664735,46.00347393799081,182.77621754705868,1.324497972004996,487.63774254363955,68.66476510077112,4.49917205690549,610.455756958381,86.79878132081387,72.84427854215323,10591.84715291096,10445.489577705519,7565.39,2007
5,Yorkshire and The Humber,320.61457522111783,180.55729490600217,61.77981069771451,5614.170332729858,3205.6828263919792,59.12825488285563,223.55012640608518,1.687960419606625,513.2326151456544,88.04792481020718,8.157220515360365,632.8028606312278,106.29993444010981,59.65223302424575,10894.806675316022,10754.749395000916,5340.37,2007
5,East Midlands,340.50976120571147,192.1415424231733,64.80402945378302,6361.765123042807,3265.0177549114715,29.62165817203928,205.3874438326215,1.5543245833506163,359.6261107211768,98.60837860508921,11.055266140463537,551.5598973980617,74.25500351086862,33.40592825689648,11397.170679834348,11248.802461051819,4707.64,2007
5,West Midlands,274.4924659536911,143.91490355294587,37.70619404860297,6030.997791859249,3337.534226324157,18.29400033786549,166.04613857197836,0.2881849467696666,479.35353754172905,99.12847574766191,4.611283869689094,457.6733827276739,83.9066430421019,29.342330741452027,11019.374655712616,10888.797093311867,5670.42,2007
5,East of England,320.30843343811205,183.97520075915654,82.55536263594816,7268.6317561403275,3882.8259571503277,72.85734438934539,168.04042763492973,7.773388798597166,308.94712697187737,91.58377273436479,60.73776728790999,1173.0759677346523,76.45796241333265,42.70007122882147,13556.495338558554,13420.162105879594,6060.04,2007
5,London,384.98223791289087,172.60052260590763,82.85732772798845,3009.11148730889,1873.2557689343766,66.77843153603915,94.17696437899325,781.4125962249528,7.543826694898163,77.68406202548098,777.9024696697252,1265.2817652389806,103.87485935871295,265.13433192791035,8789.99612893985,8577.614413632875,7653.9400000000005,2007
5,South East,322.0366981457857,178.46495058530118,80.56177142654964,7212.042193591095,3800.1156942688895,82.15802468385624,163.73181969339217,22.424227648765882,305.7667405175368,85.10390123157094,52.03571423941362,1127.1007437343703,81.35809445530663,173.74115517223584,13508.176778808765,13364.60503124827,8286.67,2007
5,South West,376.0157082282842,219.48113946266608,83.6524704065884,6843.710676999782,3903.083906555237,83.9414257488926,227.6354672440458,2.717026141329494,307.72396088499784,160.2955881379557,7.486877161708732,527.6531075933028,63.646577451590986,140.14423422466078,12727.707026778371,12571.172458012757,5712.280000000001,2007
6,North East,328.5005824991522,190.9666155534615,57.804904073884444,5255.691765527442,2938.881760101176,25.9560756864143,231.50733260293939,1.1085394398374266,609.9676255682165,96.44101256229622,4.56860122223022,367.84471819210586,97.41012718861684,302.4386495063291,10318.121694170633,10180.587727224944,3010.7000000000003,2008
6,North West,317.655306192307,185.1358841686658,58.19456112879533,5370.729547200038,3039.735480502402,51.13370186529812,171.38052015893672,0.06695723259480024,480.4699404820458,58.07619790943677,2.324673436218672,567.1829222219618,84.96431026907598,97.6659948133426,10299.580113412452,10167.060691388819,7586.320000000001,2008
6,Yorkshire and The Humber,307.9755017361039,174.57619201184582,59.02099971851771,5503.4807313382635,3186.4674948989773,75.08742941659074,218.5111968769625,2.5776354401325414,564.0007749054901,76.49793464973467,8.907005972560453,689.3938684233206,99.62281744336677,45.92700487542996,10837.470395695453,10704.071085971189,5263.09,2008
6,East Midlands,323.8239525720156,188.8970951107893,64.02350642246311,6625.881722202417,3428.452749800448,33.516414588093284,231.53274791038223,0.4318246618324385,363.79223854178395,127.28074451354097,13.129831026045998,453.2210292311447,80.39540980148419,11.616931254734505,11757.099102526396,11622.172245065172,4498.34,2008
6,West Midlands,274.90971935871033,148.66209907631924,42.26161691573384,6131.481633894584,3064.611423843703,34.138318772240716,144.45050841446286,0.2936583153841148,455.64097254069395,132.7528765815989,4.084056355721603,527.4247328114384,105.56625747234007,26.945438414826103,10944.561213691437,10818.31359340905,5507.81,2008
6,East of England,286.8194104520654,164.60777928430647,73.74394881853642,7095.925650980385,3844.779247546806,66.05220754738615,158.04440147366623,7.194449915356247,318.11930929574146,70.86959951237576,65.28601076111778,1183.6093516475892,69.89599154050184,76.05244473338277,13316.392024224915,13194.180393057146,6064.870000000001,2008
6,London,377.163061024679,174.9769748080413,84.7653623535039,2866.076782812963,1833.5922134626865,50.64481598527889,93.6904432261354,815.7352779610083,10.037072662448935,74.78768192382394,774.1953174073958,1196.0487412406608,104.07393548888453,227.9735300758643,8508.784235625335,8306.598149408688,7636.2300000000005,2008
6,South East,331.7299898461026,191.1750585262761,83.96185216666451,6881.756763669365,3730.614535790224,67.97088090124652,154.966912074756,26.32347978313517,285.0631772406009,103.43994315373145,55.002876162193104,1208.5520062101914,76.170327832889,124.01939248894354,13129.572137320052,12989.017206000228,8246.42,2008
6,South West,349.78273429376367,205.11837719025473,88.59895829777518,6595.935451570482,3806.8612582327,117.46206731624021,252.83448195494412,1.9882808003480656,311.8994226677943,99.72098916535079,11.086036158821457,613.6088823977383,57.13929209495592,131.21356560466646,12438.131420555581,12293.467063452072,5667.200000000001,2008
7,North East,323.83592645243004,186.97875798375432,60.31816230669995,4961.5870013282165,3144.6270464153995,26.629586647647443,280.37920786132344,0.7339516102880994,657.1455302584219,64.23293701909317,2.1064706931319526,402.05307997475813,116.49508668923677,184.69170931062385,10224.835696567266,10087.978528098585,3034.8500000000004,2009
7,North West,337.03146950811225,193.9362963845879,52.05031441847563,4922.910126842705,3001.082190566569,63.21890262892126,213.33262884703106,0.19904370330290447,451.6730263721949,53.8792357617189,3.247203280227865,539.9758011992682,83.23913221903055,110.65037730450278,9832.489452652064,9689.394279528535,7639.450000000001,2009
