count_point_id,name,local_authority_name
27279,Cheshire East,East Cheshire
27280,Cheshire East,Cheshire
27280,Cheshire East,East Cheshire
27284,Cheshire West and Chester,Cheshire
27284,Cheshire West and Chester,West Cheshire
27289,Cheshire East,Cheshire
27289,Cheshire East,East Cheshire
27290,Cheshire East,Cheshire
27290,Cheshire East,East Cheshire
27291,Cheshire West and Chester,Cheshire
27291,Cheshire West and Chester,West Cheshire
27293,Cheshire West and Chester,Cheshire
27293,Cheshire West and Chester,West Cheshire
27478,County Durham,Durham
27479,County Durham,Durham
27482,County Durham,Durham
27483,County Durham,Durham
27626,Cornwall,Cornwall excluding Isles of Scilly
27627,"Bournemouth, Christchurch and Poole",Bournemouth
27642,Cornwall,Cornwall excluding Isles of Scilly
27644,Cornwall,Cornwall excluding Isles of Scilly
27646,Cornwall,Cornwall excluding Isles of Scilly
27647,Cornwall,Cornwall excluding Isles of Scilly
27724,Central Bedfordshire,Bedfordshire
27740,Cheshire East,Cheshire
27740,Cheshire East,East Cheshire
27741,Cheshire East,Cheshire
27741,Cheshire East,East Cheshire
27768,Cheshire West and Chester,Cheshire
27768,Cheshire West and Chester,West Cheshire
27775,Central Bedfordshire,Bedfordshire
27789,Cheshire West and Chester,Cheshire
27789,Cheshire West and Chester,West Cheshire
27816,County Durham,Durham
27852,Cheshire East,Cheshire
27852,Cheshire East,East Cheshire
27869,Cornwall,Cornwall excluding Isles of Scilly
27997,Bedford,Bedfordshire
28032,Cheshire East,Cheshire
28032,Cheshire East,East Cheshire
28034,Cheshire East,Cheshire
28034,Cheshire East,East Cheshire
28074,"Bournemouth, Christchurch and Poole",Poole
28104,Cornwall,Cornwall excluding Isles of Scilly
28168,County Durham,Durham
28174,Cheshire West and Chester,Cheshire
28174,Cheshire West and Chester,West Cheshire
28332,"Bournemouth, Christchurch and Poole",Poole
28422,Bedford,Bedfordshire
28423,Cheshire West and Chester,Cheshire
28423,Cheshire West and Chester,West Cheshire
28471,"Bournemouth, Christchurch and Poole",Poole
28530,County Durham,Durham
28691,Cheshire East,Cheshire
28691,Cheshire East,East Cheshire
28704,"Bournemouth, Christchurch and Poole",Bournemouth
28751,Cornwall,Cornwall excluding Isles of Scilly
28775,Cheshire West and Chester,Cheshire
28775,Cheshire West and Chester,West Cheshire
28778,Cornwall,Cornwall excluding Isles of Scilly
28789,Cheshire West and Chester,Cheshire
28789,Cheshire West and Chester,West Cheshire
28854,Cheshire West and Chester,Cheshire
28854,Cheshire West and Chester,West Cheshire
29054,Bedford,Bedfordshire
30547,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
30636,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
30667,Vale of Glamorgan,The Vale of Glamorgan
30729,Perth and Kinross,Perth & Kinross
30747,Dumfries and Galloway,Dumfries & Galloway
30749,Dumfries and Galloway,Dumfries & Galloway
30753,Dumfries and Galloway,Dumfries & Galloway
30759,Dumfries and Galloway,Dumfries & Galloway
30769,Argyll and Bute,Argyll & Bute
30774,Perth and Kinross,Perth & Kinross
30775,Argyll and Bute,Argyll & Bute
30797,Argyll and Bute,Argyll & Bute
30846,Perth and Kinross,Perth & Kinross
30863,Perth and Kinross,Perth & Kinross
30865,Perth and Kinross,Perth & Kinross
30866,Perth and Kinross,Perth & Kinross
30877,Dumfries and Galloway,Dumfries & Galloway
30878,Dumfries and Galloway,Dumfries & Galloway
30882,Dumfries and Galloway,Dumfries & Galloway
30884,Dumfries and Galloway,Dumfries & Galloway
30885,Dumfries and Galloway,Dumfries & Galloway
30886,Dumfries and Galloway,Dumfries & Galloway
30888,Dumfries and Galloway,Dumfries & Galloway
30890,Dumfries and Galloway,Dumfries & Galloway
30909,Dumfries and Galloway,Dumfries & Galloway
30913,Dumfries and Galloway,Dumfries & Galloway
30926,Argyll and Bute,Argyll & Bute
30927,Argyll and Bute,Argyll & Bute
30940,Argyll and Bute,Argyll & Bute
30941,Argyll and Bute,Argyll & Bute
30942,Argyll and Bute,Argyll & Bute
30943,Argyll and Bute,Argyll & Bute
30946,Na h-Eileanan Siar,Comhairle nan Eilean Siar
30948,Na h-Eileanan Siar,Comhairle nan Eilean Siar
30953,Na h-Eileanan Siar,Comhairle nan Eilean Siar
30954,Na h-Eileanan Siar,Comhairle nan Eilean Siar
30972,Perth and Kinross,Perth & Kinross
30973,Perth and Kinross,Perth & Kinross
30980,Perth and Kinross,Perth & Kinross
30981,Perth and Kinross,Perth & Kinross
31010,Perth and Kinross,Perth & Kinross
36081,Bedford,Bedfordshire
36145,Central Bedfordshire,Bedfordshire
36173,Bedford,Bedfordshire
36330,Cornwall,Cornwall excluding Isles of Scilly
36333,Cornwall,Cornwall excluding Isles of Scilly
36334,Cornwall,Cornwall excluding Isles of Scilly
36335,Cornwall,Cornwall excluding Isles of Scilly
36357,Cheshire East,Cheshire
36357,Cheshire East,East Cheshire
36358,Cheshire East,Cheshire
36358,Cheshire East,East Cheshire
36384,"Bournemouth, Christchurch and Poole",Poole
36422,Cornwall,Cornwall excluding Isles of Scilly
36540,Cheshire East,Cheshire
36540,Cheshire East,East Cheshire
36541,Cheshire East,Cheshire
36541,Cheshire East,East Cheshire
36542,Cheshire East,Cheshire
36542,Cheshire East,East Cheshire
36552,Cheshire West and Chester,Cheshire
36552,Cheshire West and Chester,West Cheshire
36553,Cheshire East,Cheshire
36554,Cheshire East,Cheshire
36571,Cheshire West and Chester,Cheshire
36571,Cheshire West and Chester,West Cheshire
36572,Cheshire East,Cheshire
36572,Cheshire East,East Cheshire
36573,Cheshire East,Cheshire
36573,Cheshire East,East Cheshire
36652,County Durham,Durham
36744,County Durham,Durham
36756,County Durham,Durham
36757,County Durham,Durham
36769,County Durham,Durham
36995,"Bournemouth, Christchurch and Poole",Bournemouth
36999,"Bournemouth, Christchurch and Poole",Bournemouth
37060,Cornwall,Cornwall excluding Isles of Scilly
37083,Cornwall,Cornwall excluding Isles of Scilly
37085,Cornwall,Cornwall excluding Isles of Scilly
37086,Cornwall,Cornwall excluding Isles of Scilly
37089,Cornwall,Cornwall excluding Isles of Scilly
37090,Cornwall,Cornwall excluding Isles of Scilly
37091,Cornwall,Cornwall excluding Isles of Scilly
37096,Cornwall,Cornwall excluding Isles of Scilly
37176,Bedford,Bedfordshire
37306,Cheshire East,Cheshire
37306,Cheshire East,East Cheshire
37311,Cheshire East,Cheshire
37311,Cheshire East,East Cheshire
37312,Cheshire East,Cheshire
37312,Cheshire East,East Cheshire
37314,Cheshire East,Cheshire
37314,Cheshire East,East Cheshire
37315,Cheshire East,Cheshire
37315,Cheshire East,East Cheshire
37317,Cheshire East,Cheshire
37317,Cheshire East,East Cheshire
37318,Cheshire West and Chester,Cheshire
37318,Cheshire West and Chester,West Cheshire
37320,Cheshire West and Chester,Cheshire
37320,Cheshire West and Chester,West Cheshire
37326,Cheshire East,Cheshire
37326,Cheshire East,East Cheshire
37327,Cheshire West and Chester,Cheshire
37327,Cheshire West and Chester,West Cheshire
37329,Cheshire West and Chester,Cheshire
37523,County Durham,Durham
37526,County Durham,Durham
37528,County Durham,Durham
37531,County Durham,Durham
37667,Cornwall,Cornwall excluding Isles of Scilly
37668,Cornwall,Cornwall excluding Isles of Scilly
37669,"Bournemouth, Christchurch and Poole",Poole
37678,Cornwall,Cornwall excluding Isles of Scilly
37679,Cornwall,Cornwall excluding Isles of Scilly
37686,Cornwall,Cornwall excluding Isles of Scilly
37690,Cornwall,Cornwall excluding Isles of Scilly
37786,Cheshire West and Chester,Cheshire
37786,Cheshire West and Chester,West Cheshire
37812,Cheshire West and Chester,Cheshire
37812,Cheshire West and Chester,West Cheshire
37813,Cheshire West and Chester,Cheshire
37813,Cheshire West and Chester,West Cheshire
37823,Bedford,Bedfordshire
37832,Cheshire West and Chester,Cheshire
37832,Cheshire West and Chester,West Cheshire
37855,County Durham,Durham
37931,County Durham,Durham
38074,Central Bedfordshire,Bedfordshire
38078,Cheshire West and Chester,Cheshire
38078,Cheshire West and Chester,West Cheshire
38123,County Durham,Durham
38223,County Durham,Durham
38228,Cheshire West and Chester,Cheshire
38228,Cheshire West and Chester,West Cheshire
38229,Cheshire East,Cheshire
38229,Cheshire East,East Cheshire
38262,Bedford,Bedfordshire
38371,Bedford,Bedfordshire
38387,"Bournemouth, Christchurch and Poole",Poole
38403,Bedford,Bedfordshire
38687,Cornwall,Cornwall excluding Isles of Scilly
38724,Central Bedfordshire,Bedfordshire
38733,"Bournemouth, Christchurch and Poole",Poole
38742,Cheshire East,Cheshire
38742,Cheshire East,East Cheshire
38750,Cheshire West and Chester,Cheshire
38750,Cheshire West and Chester,West Cheshire
38758,Central Bedfordshire,Bedfordshire
38787,Central Bedfordshire,Bedfordshire
38797,Bedford,Bedfordshire
38799,"Bournemouth, Christchurch and Poole",Dorset
38808,Cheshire West and Chester,Cheshire
38808,Cheshire West and Chester,West Cheshire
38814,Cheshire East,Cheshire
38814,Cheshire East,East Cheshire
40526,Vale of Glamorgan,The Vale of Glamorgan
40536,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
40548,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
40628,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
40629,Vale of Glamorgan,The Vale of Glamorgan
40650,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
40661,Vale of Glamorgan,The Vale of Glamorgan
40716,Dumfries and Galloway,Dumfries & Galloway
40725,Perth and Kinross,Perth & Kinross
40767,Argyll and Bute,Argyll & Bute
40768,Argyll and Bute,Argyll & Bute
40770,Perth and Kinross,Perth & Kinross
40794,Argyll and Bute,Argyll & Bute
40796,Argyll and Bute,Argyll & Bute
40804,Perth and Kinross,Perth & Kinross
40836,Dumfries and Galloway,Dumfries & Galloway
