year,local_authority_name,sum_cycles,change_cycles,mean_cycles,n_cycles,cycling_2011,multiplier
2011,Buckinghamshire,20172,1.0213456883819314,31.594170956670958,74,1.0213456883819314,1
2011,Bury,9795,0.9702169094400092,63.595436507936505,14,0.9702169094400092,1
2011,Caerphilly,4053,0.7171443668196705,13.279501915708812,29,0.7171443668196705,1
2011,Calderdale,5107,0.8903098861527693,40.94722222222222,20,0.8903098861527693,1
2011,Cambridgeshire,84122,1.2812514556184622,124.9637996031746,80,1.2812514556184622,1
2011,Camden,243640,0.8918556880002565,1286.9305555555554,22,0.8918556880002565,1
2011,Cardiff,44599,0.8315733581973547,61.575970695970696,65,0.8315733581973547,1
2011,Carmarthenshire,1950,0.992746779551311,10.11025641025641,26,0.992746779551311,1
2011,Central Bedfordshire,8092,0.9786386150054499,32.48,35,0.9786386150054499,1
2011,Ceredigion,461,0.8794780470146217,6.961904761904762,7,0.8794780470146217,1
2011,City of Edinburgh,25729,0.8807218063172171,91.23457341269841,40,0.8807218063172171,1
2011,City of London,288605,0.6626419856426435,4990.702380952381,4,0.6626419856426435,1
2011,Clackmannanshire,1064,1.4451090452626072,23.96388888888889,4,1.4451090452626072,1
2011,Conwy,1968,0.5604270494419917,14.729232804232804,18,0.5604270494419917,1
2011,Cornwall excluding Isles of Scilly,9445,1.1918665267236122,16.881467557783346,57,1.1918665267236122,1
2011,Coventry,27438,1.0157682500199052,64.83691358024691,45,1.0157682500199052,1
2011,Croydon,20504,0.8722548387210636,58.44637188208617,28,0.8722548387210636,1
2011,Cumbria,19538,0.9619289747780252,51.77417695473251,54,0.9619289747780252,1
2011,Darlington,6627,0.8203086604068105,55.160000000000004,10,0.8203086604068105,1
2011,Denbighshire,1983,0.6855788218677198,16.663095238095238,14,0.6855788218677198,1
2011,Derby,24609,1.029019668039655,53.58221340388007,45,1.029019668039655,1
2011,Derbyshire,32013,1.066314540657859,38.686571428571426,100,1.066314540657859,1
2011,Devon,20590,1.149582992019582,33.950901360544215,70,1.149582992019582,1
2011,Doncaster,13809,1.2041623408378441,42.12264957264957,39,1.2041623408378441,1
